name,price,type,efficiency,wattage,modular,color,brand
Corsair RM1000x SHIFT,4299.8,ATX,gold,1000,Full / Side,Black,Corsair
Apevia Galaxy,1599.6,ATX,gold,1000,Semi,Black,Apevia
be quiet! SFX L Power,2841.0,SFX,gold,500,Full,Black,be quiet!
be quiet! Pure Power 13 M,2698.0,ATX,gold,850,Full,Black,be quiet!
Rosewill CMG850,1599.8,ATX,gold,850,Full,Black,Rosewill
MSI MPG A850GS PCIE5,2599.8,ATX,gold,850,Full,Black,MSI
be quiet! Power Zone 2,3899.8,ATX,platinum,1000,Full,Black,be quiet!
be quiet! Power Zone 2,2598.0,ATX,platinum,750,Full,Black,be quiet!
be quiet! Dark Power 13,4798.0,ATX,titanium,850,Full,Black,be quiet!
ASRock Taichi TC-1650T,10379.79,ATX,titanium,1650,Full,Black / Silver,ASRock
be quiet! Straight Power 12,4751.2,ATX,platinum,1500,Full,Black,be quiet!
SeaSonic FOCUS GX,3505.2,ATX,gold,750,Full,Black,Seasonic
ADATA XPG CYBERCORE,2599.8,ATX,platinum,1000,Full,Black / Silver,XPG
ASRock Steel Legend SL-850G,1999.8,ATX,gold,850,Full,Black,ASRock
ADATA XPG PYLON,1638.6,ATX,bronze,650,false,Black,XPG
be quiet! SFX Power 3 450,2488.19,SFX,bronze,450,false,Black,be quiet!
Corsair RM850,2319.6,ATX,gold,850,Full,Black,Corsair
Corsair RM1200x SHIFT,5399.8,ATX,gold,1200,Full / Side,White,Corsair
be quiet! Pure Power 12,2798.0,ATX,gold,1000,false,Black,be quiet!
Corsair RM850x (2018),4190.0,ATX,gold,850,Full,Black,Corsair
SeaSonic VERTEX GX-1200,4959.8,ATX,gold,1200,Full,Black / Silver,Seasonic
Asus ROG LOKI,5299.8,SFX,platinum,1000,Full,Silver / Black,ASUS
MSI MAG A750BE,1599.6,ATX,bronze,750,Semi,Black,MSI
MSI MAG A750GL PCIE5 II,2300.0,ATX,gold,750,Full,Black,MSI
Lian Li EDGE GOLD,9623.4,ATX,gold,1000,Full,Black,Lian Li
Asus TUF Gaming 1000G,3899.8,ATX,gold,1000,Full,White,ASUS
Thermaltake Toughpower GX3,1839.8,ATX,gold,850,false,Black,Thermaltake
Asus ROG THOR P2 Gaming,7199.8,ATX,platinum,1000,Full,Silver / Black,ASUS
Thermaltake Toughpower GF3 TT Premium,3719.8,ATX,gold,1200,Full,Black,Thermaltake
Thermaltake Toughpower GF A3 - TT Premium Edition,2001.8,ATX,gold,850,Full,Black,Thermaltake
Cooler Master V SFX Gold ATX 3.0,2799.8,SFX,gold,850,Full,Black,Cooler Master
Asus TUF Gaming 1200G,4359.8,ATX,gold,1200,Full,Black,ASUS
Silverstone DA850R-GMA,3479.8,ATX,gold,850,Full,Black,SilverStone
Corsair RM750e (2022),3500.0,ATX,gold,750,Full,Black,Corsair
be quiet! Pure Power 13 M,2198.0,ATX,gold,750,Full,Black,be quiet!
Gigabyte UD750GM-A,1799.8,ATX,gold,750,Full,Black,Gigabyte
Silverstone Extreme 500 Bronze,2132.8,SFX,bronze,500,false,Black / White,SilverStone
be quiet! Pure Power 12,2159.6,ATX,gold,750,false,Black,be quiet!
ADATA XPG PYLON,2050.2,ATX,bronze,550,false,Black,XPG
