name,price,speed,color,cas_latency,module_count,module_capacity_gb,brand
G.Skill Trident Z RGB 16 GB,1099.8,"4,3600",Black,18.0,2,8,G.Skill
Kingston FURY Beast RGB 32 GB,2823.8,"5,6000",White,30.0,2,16,Kingston
Corsair Vengeance 128 GB,7459.8,"5,6400",Black,42.0,2,64,Corsair
Corsair Vengeance RGB 16 GB,1359.6,"5,5200",Black / Gray,40.0,2,8,Corsair
Crucial CT2K8G48C40U5 16 GB,839.8,"5,4800",Black,40.0,2,8,Crucial
G.Skill Trident Z5 Neo 64 GB,4099.8,"5,6000",Black / Silver,30.0,2,32,G.Skill
Silicon Power XPOWER Pulse Gaming 32 GB,1599.4,"5,6000",Black,36.0,2,16,Silicon Power
Corsair Vengeance RGB 32 GB,2959.8,"5,6000",Black,28.0,2,16,Corsair
Silicon Power SP016GLLTU160N22 16 GB,339.0,"3,1600",Green,11.0,2,8,Silicon Power
PNY XLR8 Gaming RGB 32 GB,1899.8,"5,6000",Black,36.0,2,16,PNY
G.Skill Trident Z5 RGB 32 GB,2799.8,"5,7200",Black,34.0,2,16,G.Skill
Kingston FURY Beast 8 GB,597.79,"4,3200",Black,16.0,1,8,Kingston
Corsair Vengeance 32 GB,1939.8,"5,5200",Black,40.0,2,16,Corsair
TEAMGROUP T-Create Expert 32 GB,1259.8,"4,3200",Gray,16.0,2,16,TeamGroup
Silicon Power XPOWER Pulse Gaming 32 GB,1699.8,"5,6400",Black,32.0,2,16,Silicon Power
Corsair Dominator Titanium 96 GB,8559.79,"5,7000",Black,40.0,2,48,Corsair
Corsair Vengeance LPX 16 GB,1839.8,"4,3600",Black,18.0,2,8,Corsair
Corsair Vengeance RGB Pro 16 GB,1958.19,"4,3200",White,16.0,2,8,Corsair
Patriot Viper Venom 16 GB,1059.8,"5,5200",Black / White,36.0,2,8,Patriot
G.Skill Trident Z5 Royal 64 GB,5199.8,"5,6400",Silver,32.0,2,32,G.Skill
Crucial Pro 64 GB,2519.79,"4,3200",Black / Green,22.0,2,32,Crucial
Corsair Dominator Titanium 96 GB,8399.79,"5,6600",White,32.0,2,48,Corsair
ADATA XPG Lancer Blade RGB 32 GB,2699.8,"5,6000",Black,30.0,2,16,ADATA
Corsair Vengeance RGB 32 GB,2899.8,"5,6000",White / Silver,30.0,2,16,Corsair
Patriot Signature Line 32 GB,1439.6,"5,4800",Black,40.0,2,16,Patriot
Crucial CT2K16G48C40U5 32 GB,1479.6,"5,4800",Black,40.0,2,16,Crucial
