name,price,socket,form_factor,max_memory,memory_slots,color,price_available,brand
Asus M4N68T-M V2,3999.8,AM3,Micro ATX,16,2,Black / Blue,True,ASUS
Asus H97M-E/CSM/C/SI,,LGA1150,Micro ATX,32,4,Black / Gold,False,ASUS
ECS H81H3-A3,,LGA1150,ATX,16,2,Black / Gray,False,ECS
MSI X570-A PRO,,AM4,ATX,128,4,Black / Silver,False,MSI
Asus ROG MAXIMUS XII EXTREME,19937.0,LGA1200,EATX,128,4,Black,True,ASUS
Foxconn M61PMV,,AM2+/AM2,Micro ATX,4,2,Black / Yellow,False,Foxconn
ASRock Q1900M,,Integrated Celeron J1900,Micro ATX,16,2,Brown,False,ASRock
Jetway JHA16-ULTRA,,FM1,ATX,16,4,,False,Jetway
Asus AM1M-A,3999.8,AM1,Micro ATX,32,2,Black / Gold,True,ASUS
Gigabyte Z890 AORUS ELITE WIFI7,4908.0,LGA1851,ATX,256,4,Black,True,Gigabyte
Biostar A55MLV,,FM1,Micro ATX,16,2,Black / Red,False,Biostar
Gigabyte Z890 AORUS XTREME AI TOP,19999.8,LGA1851,EATX,256,4,Black,True,Gigabyte
ECS A785GM-M5 1.0,,AM3/AM2+/AM2,Micro ATX,8,2,,False,ECS
ASRock A75M-ITX,,FM1,Mini ITX,16,2,Black / Blue,False,ASRock
MSI 890FXA-GD65,6239.6,AM3,ATX,16,4,Black / Blue,True,MSI
Gigabyte GA-AX370M-Gaming 3,,AM4,Micro ATX,64,4,Beige / Red,False,Gigabyte
Asus STRIX X299-E GAMING,,LGA2066,ATX,128,8,Black,False,ASUS
Gigabyte Z690 AORUS XTREME,,LGA1700,EATX,192,4,Black,False,Gigabyte
ASRock FM2A85X Extreme4-M,,FM2,Micro ATX,64,4,Brown / Black,False,ASRock
MSI 880GM-P51,,AM3,Micro ATX,16,4,Black / Blue,False,MSI
ASRock X299 Taichi XE,,LGA2066,ATX,128,8,Black / Silver,False,ASRock
EVGA Z390 DARK,,LGA1151,EATX,64,2,Black / Gold,False,EVGA
ECS P55H-AK (V1.0),,LGA1156,ATX,16,4,,False,ECS
Asus Rampage V Edition 10,,LGA2011-3,EATX,128,8,Black,False,ASUS
Biostar Z270GT9,,LGA1151,ATX,64,4,Black / White,False,Biostar
Asus PRIME B560-PLUS AC-HES,,LGA1200,ATX,128,4,Silver / Black,False,ASUS
MSI MPG Z590 GAMING CARBON WIFI,7999.8,LGA1200,ATX,128,4,Black,True,MSI
Foxconn P55A-S,,LGA1156,ATX,16,4,,False,Foxconn
ASRock H97M-ITX/AC,,LGA1150,Mini ITX,16,2,Black / Blue,False,ASRock
Asus ROG CROSSHAIR X870E EXTREME,19999.8,AM5,EATX,256,4,Black / Silver,True,ASUS
Foxconn D270S,,Integrated Atom D2700,Mini ITX,4,2,Blue / Silver,False,Foxconn
Foxconn A75M,,FM1,Micro ATX,64,4,Multicolor,False,Foxconn
Gigabyte X470 AORUS GAMING 5 WIFI,,AM4,ATX,64,4,Black / Orange,False,Gigabyte
MSI 760GM-P21 (FX),,AM3+,Micro ATX,16,2,Black / Blue,False,MSI
Gigabyte Z790 AORUS MASTER X,8880.0,LGA1700,EATX,192,4,Black,True,Gigabyte
Gigabyte GA-X79-UD7,,LGA2011,XL ATX,32,4,Black / Orange,False,Gigabyte
MSI AM1M,,AM1,Micro ATX,16,2,Black,False,MSI
Biostar Hi-Fi A85W,,FM2,ATX,64,4,Black / Blue,False,Biostar
Asus PRIME B550M-K ARGB,,AM4,Micro ATX,64,2,Black,False,ASUS
ASRock B150M-DVS R2.0,,LGA1151,Micro ATX,32,2,Black / Orange,False,ASRock
MSI PRO Z790-P II,,LGA1700,ATX,192,4,Black,False,MSI
ASRock N3700-ITX,,Integrated Pentium N3700,Mini ITX,16,2,Black,False,ASRock
EVGA 141-BL-E760-A1,,LGA1366,EATX,24,6,Black / Red,False,EVGA
Gigabyte GA-H81M-D3V,,LGA1150,Micro ATX,16,2,Black / Silver,False,Gigabyte
ECS A960M-M2,,AM3+,Micro ATX,16,2,Black / Gray,False,ECS
Biostar B860MT-E PRO,,LGA1851,Micro ATX,256,4,Black / Gray,False,Biostar
MSI MPG B760M EDGE TI WIFI,4399.8,LGA1700,Micro ATX,192,4,Silver / Black,True,MSI
Gigabyte GA-MA78LMT-S2,,AM3,Micro ATX,8,2,Blue / White,False,Gigabyte
MSI X79A-GD45 Plus,,LGA2011,ATX,128,8,Black / Gray,False,MSI
Asus P9X79 LE,15180.0,LGA2011,ATX,64,8,Black / Blue,True,ASUS
Supermicro X10SRA,,LGA2011-3,ATX,512,8,Black / Blue,False,Supermicro
Intel D2700MUD,,Integrated Atom D2700,Mini ITX,4,2,Green / Black,False,Intel
ASRock J3710-ITX,,Integrated Pentium J3710,Mini ITX,16,2,Black / White,False,ASRock
MSI X99A TOMAHAWK,,LGA2011-3,ATX,128,8,Black / Silver,False,MSI
Gigabyte X299 UD4 Pro,9780.0,LGA2066,ATX,128,8,Black,True,Gigabyte
EVGA Micro 2,,LGA2011-3,Micro ATX,64,4,Black,False,EVGA
