name,price,type,max_motherboard_form_factor,color,included_psu_wattage,has_included_psu,side_panel,external_volume,internal_35_bays,price_available,brand
In Win Z583T.CQ350TBL,,MicroATX Mini Tower,Micro ATX,Black / Silver,350.0,True,Solid,24.2,1,False,In Win
Silverstone RVX01 Window,,ATX Mid Tower,ATX,Black / Green,,False,Acrylic,,4,False,SilverStone
SSUPD Meshroom S w/PCIe 4.0 Riser,,ATX Mini Tower,ATX,Green,,False,Mesh,14.9,0,False,SSUPD
Thermaltake Core X9,,ATX Desktop,ATX,Black,,False,Acrylic,,7,False,Thermaltake
G.Skill Z5i,2799.8,Mini ITX Tower,Mini ITX,Black,,False,Tempered Glass,24.4,1,True,G.Skill
Gigabyte GZ-X7BMDX-400,,ATX Mid Tower,ATX,Black,,False,Solid,36.4,6,False,Gigabyte
Silverstone CS01,,Mini ITX Tower,Mini ITX,Black,,False,Solid,,2,False,SilverStone
SHARKOON VS9,,ATX Mid Tower,ATX,Black,,False,Solid,42.1,2,False,SHARKOON
SHARKOON MS-Y1000,,MicroATX Mid Tower,Micro ATX,Black,,False,Tempered Glass,26.2,1,False,SHARKOON
Lian Li PC-V650,,ATX Mini Tower,ATX,Black,,False,Solid,38.2,7,False,Lian Li
Silverstone SG13,,Mini ITX Tower,Mini ITX,White / Black,,False,Solid,11.5,1,False,SilverStone
Cooler Master MasterBox NR200P,,Mini ITX Desktop,Mini ITX,Black,,False,Tempered Glass,20.3,2,False,Cooler Master
Antec Nine Hundred Two,,ATX Mid Tower,ATX,Black,,False,Acrylic,50.6,6,False,Antec
Montech KING 65 PRO,1899.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,63.0,2,True,Montech
Cougar Purity,,MicroATX Mini Tower,Micro ATX,Black,,False,Solid,28.2,2,False,Cougar
Thermaltake Core G21 Tempered Glass Edition,,ATX Mid Tower,ATX,Black,,False,Tinted Tempered Glass,46.6,2,False,Thermaltake
Fractal Design Define R6 USB-C Blackout,,ATX Mid Tower,ATX,Black,,False,Solid,56.7,6,False,Fractal Design
Apevia X-Mirage,,ATX Mid Tower,ATX,Pink,,False,Acrylic,41.8,2,False,Apevia
Acer Predator MI900,,Mini ITX Tower,Mini ITX,White / Black,,False,Mesh,15.5,0,False,Desconocida
Ultra XBlaster V2,,ATX Mid Tower,ATX,Black,450.0,True,Solid,36.0,6,False,Ultra
Deepcool Gamer Storm Quadstellar,,ATX Desktop,ATX,Black,,False,Solid,,8,False,DeepCool
GamerChief HYVE,,ATX Full Tower,ATX,Black,,False,Acrylic,,4,False,Desconocida
Silverstone ML08,,HTPC,Mini ITX,Black,,False,Acrylic,,0,False,SilverStone
Cooler Master Elite 311,,ATX Mid Tower,ATX,Black / Blue,,False,Acrylic,40.8,5,False,Cooler Master
OCPC MICRO,,MicroATX Mid Tower,Micro ATX,Black,,False,Solid,12.7,0,False,OCPC
DIYPC Gamemax,,ATX Full Tower,ATX,White,,False,Acrylic,61.7,4,False,DIYPC
Nanoxia DS1WIB,,ATX Mid Tower,ATX,Black,,False,Acrylic,60.0,8,False,Nanoxia
Silverstone MILO 11,1855.4,MicroATX Desktop,Micro ATX,Black / Silver,,False,Solid,10.3,1,True,SilverStone
Topower TP-3030BB-450,,MicroATX Mini Tower,Micro ATX,Black,450.0,True,Solid,25.3,4,False,Topower
Sunbeam ACUF-HUVB,,ATX Mid Tower,ATX,Clear,,False,Solid,33.3,2,False,Sunbeam
NZXT Manta,,Mini ITX Desktop,Mini ITX,Black,,False,Acrylic,,2,False,NZXT
Xion XON-CBX01,,ATX Mid Tower,ATX,Black,,False,Acrylic,38.3,5,False,Xion
Silverstone PS10B,,ATX Mid Tower,ATX,Black,,False,Solid,54.8,0,False,SilverStone
Corsair Graphite Series 600T,,ATX Mid Tower,ATX,Black,,False,Solid,79.3,6,False,Corsair
DIYPC Vision II,,ATX Mid Tower,ATX,Black / Blue,,False,Tempered Glass,46.9,3,False,DIYPC
GameMax Vista M,1078.0,MicroATX Mini Tower,Micro ATX,Black,,False,Tempered Glass,40.9,2,True,GameMax
HEC Vigilance,,MicroATX Mini Tower,Micro ATX,Black,400.0,True,Solid,27.5,2,False,HEC
Gigabyte GZ-ZHSMW8,,MicroATX Mini Tower,Micro ATX,Black,,False,Solid,,3,False,Gigabyte
Antec NX200M,1859.4,MicroATX Mid Tower,Micro ATX,Black,,False,Tempered Glass,,2,True,Antec
BitFenix Phenom,,Mini ITX Tower,Mini ITX,Black,,False,Solid,30.6,6,False,BitFenix
Thermaltake Level 10 GT Battle Edition,,ATX Full Tower,ATX,Green / Black,,False,Solid,96.7,5,False,Thermaltake
In Win BQS656.DD120BL,,Mini ITX Desktop,Mini ITX,Black,120.0,True,Solid,3.3,0,False,In Win
Cubitek HPTX ICE,,ATX Full Tower,ATX,Black,,False,Solid,,8,False,Cubitek
