name,price,type,max_motherboard_form_factor,color,included_psu_wattage,has_included_psu,side_panel,external_volume,internal_35_bays,price_available
Thermaltake Core V1,1073.59,Mini ITX Desktop,Mini ITX,Black,,False,Solid,22.4,2,True
HYTE Y60 Snow White,3599.8,ATX Mid Tower,ATX,White,,False,Tempered Glass,60.0,2,True
Fractal Design Node 304,2199.79,Mini ITX Tower,Mini ITX,Black / White,,False,Solid,19.5,6,True
Cooler Master MasterBox TD500 Mesh V2,2157.8,ATX Mid Tower,ATX,,,False,Tempered Glass,52.4,2,True
Lian Li Lancool 207 Digital,2099.79,ATX Mid Tower,ATX,Black,,False,Tempered Glass,45.5,2,True
Corsair 6500X,3999.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,78.3,2,True
Deepcool MATREXX 40 3FS,,MicroATX Mini Tower,Micro ATX,Black,,False,Tempered Glass,,2,False
Lian Li O11 Dynamic EVO,,ATX Mid Tower,ATX,Black,,False,Tinted Tempered Glass,60.8,6,False
MSI MAG PANO 100R PZ,3199.8,ATX Mid Tower,ATX,White,,False,Tempered Glass,72.5,2,True
Montech X5M,1120.0,MicroATX Mini Tower,Micro ATX,White,,False,Tempered Glass,45.3,2,True
Fractal Design Pop Mini Air,1999.8,MicroATX Mid Tower,Micro ATX,White,,False,Tempered Glass,36.5,2,True
MSI MAG FORGE 120A AIRFLOW,,ATX Mid Tower,ATX,Black,,False,Tempered Glass,43.0,3,False
DIYPC DIY-S07,879.4,ATX Mid Tower,ATX,Black,,False,Acrylic,27.5,2,True
Thermaltake Versa H17,999.8,MicroATX Mini Tower,Micro ATX,Black,,False,Solid,30.4,2,True
Jonsbo TK-0,2599.8,Mini ITX Desktop,Mini ITX,Black,,False,Tempered Glass,16.4,1,True
Aerocool CS-107 RGB,,MicroATX Mini Tower,Micro ATX,Black,,False,Tempered Glass,23.7,1,False
Deepcool CH370,,MicroATX Mid Tower,Micro ATX,White,,False,Tempered Glass,38.3,2,False
Thermaltake Versa H21,959.8,ATX Mid Tower,ATX,Black,,False,Solid,42.8,3,True
Corsair 2500X,2902.6,MicroATX Mini Tower,Micro ATX,Black,,False,Tempered Glass,54.8,2,True
Thermaltake View 270 Plus TG ARGB,1799.8,ATX Mid Tower,ATX,White,,False,Tempered Glass,47.6,2,True
Lian Li PC-O11 Dynamic,,ATX Full Tower,ATX,White,,False,Tempered Glass,54.0,3,False
HYTE Y70,4399.8,ATX Mid Tower,ATX,Pink,,False,Tempered Glass,70.7,2,True
Antec AX20,1966.4,ATX Mid Tower,ATX,Black,,False,Tempered Glass,33.4,2,True
Deepcool CH160,,Mini ITX Desktop,Mini ITX,White,,False,Tempered Glass,19.1,1,False
Montech AIR 903 MAX,1799.8,ATX Mid Tower,ATX,White,,False,Tempered Glass,54.2,2,True
Fractal Design Define 7,3899.8,ATX Mid Tower,ATX,Black,,False,Solid,62.4,6,True
Aerocool Bolt Mini Glass,,MicroATX Mini Tower,Micro ATX,Black,,False,Tempered Glass,,2,False
MSI MAG FORGE 100R,3140.4,ATX Mid Tower,ATX,Black,,False,Tempered Glass,,2,True
NZXT H7 Flow (2024),2199.79,ATX Mid Tower,ATX,White,,False,Tempered Glass,62.1,2,True
FormD T1 V2.1 CNC Anodized,,Mini ITX Desktop,Mini ITX,Black,,False,Mesh,,0,False
Fractal Design Meshify 2 XL,4399.8,ATX Full Tower,ATX,Black,,False,Tinted Tempered Glass,81.5,6,True
Corsair 3500X,1799.8,ATX Mid Tower,ATX,White,,False,Tempered Glass,55.9,2,True
Corsair FRAME 4000D RS ARGB,2499.79,ATX Mid Tower,ATX,White,,False,Tempered Glass,56.7,2,True
MSI MAG FORGE 112R,1799.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,42.5,2,True
Lian Li O11 Vision Chrome,3280.0,ATX Mid Tower,ATX,Black,,False,Tinted Tempered Glass,67.8,2,True
HAVN HS420 VGPU,5999.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,76.8,5,True
Corsair iCUE 4000X RGB,1739.8,ATX Mid Tower,ATX,White,,False,Tempered Glass,48.6,2,True
Asus Prime AP201,1599.6,MicroATX Mini Tower,Micro ATX,White,,False,Mesh,33.0,3,True
Lian Li ODYSSEY X,29737.6,ATX Full Tower,ATX,Silver / Black,,False,Tempered Glass,,3,True
Lian Li Vector V100R,1880.0,ATX Mid Tower,ATX,White,,False,Tempered Glass,53.2,1,True
