name,price,type,max_motherboard_form_factor,color,included_psu_wattage,has_included_psu,side_panel,external_volume,internal_35_bays,price_available,brand
SHARKOON CA-I,,Mini ITX Desktop,Mini ITX,Black,,False,Solid,,1,False,SHARKOON
SHARKOON CA-I,,Mini ITX Desktop,Mini ITX,Silver,,False,Solid,,1,False,SHARKOON
SHARKOON CA-M,,MicroATX Mini Tower,Micro ATX,Silver,,False,Solid,,2,False,SHARKOON
In Win 909,,ATX Full Tower,ATX,Black,,False,Tempered Glass,,4,False,In Win
In Win 909,,ATX Full Tower,ATX,Silver,,False,Tempered Glass,,4,False,In Win
RAIJINTEK STYX,,MicroATX Mini Tower,Micro ATX,Black,,False,Acrylic,,3,False,RAIJINTEK
RAIJINTEK STYX,,MicroATX Mini Tower,Micro ATX,Gold,,False,Acrylic,,3,False,RAIJINTEK
RAIJINTEK STYX,,MicroATX Mini Tower,Micro ATX,Black,,False,Solid,,3,False,RAIJINTEK
SHARKOON BD28,,ATX Mid Tower,ATX,Black / Red,,False,Acrylic,,3,False,SHARKOON
Silverstone RVX01 Window,,ATX Mid Tower,ATX,Black / Blue,,False,Acrylic,,4,False,SilverStone
Silverstone RVX01,,ATX Mid Tower,ATX,Black,,False,Solid,,4,False,SilverStone
Silverstone RVX01 Window,,ATX Mid Tower,ATX,Black / Red,,False,Acrylic,,4,False,SilverStone
Silverstone RVX01 Window,,ATX Mid Tower,ATX,Black / Green,,False,Acrylic,,4,False,SilverStone
Lian Li PC-Q21,,Mini ITX Tower,Mini ITX,Silver,,False,Solid,,2,False,Lian Li
VIVO Athena,,ATX Mid Tower,ATX,Black,,False,Acrylic,,2,False,VIVO
RAIJINTEK AGOS,,ATX Mid Tower,ATX,Black,,False,Solid,,6,False,RAIJINTEK
RAIJINTEK AGOS,,ATX Mid Tower,ATX,White,,False,Solid,,6,False,RAIJINTEK
Apevia X-Pioneer,,ATX Mid Tower,ATX,Black / Blue,,False,Acrylic,,4,False,Apevia
Apevia X-Pioneer,,ATX Mid Tower,ATX,White / Blue,,False,Acrylic,,4,False,Apevia
NZXT Manta,,Mini ITX Desktop,Mini ITX,Black,,False,Solid,,2,False,NZXT
Lian Li PC-V33,,ATX Mid Tower,ATX,Black,,False,Solid,,4,False,Lian Li
Lian Li PC-V33,,ATX Mid Tower,ATX,Black,,False,Acrylic,,4,False,Lian Li
BitFenix Pandora ATX,,ATX Mid Tower,ATX,Black,,False,Acrylic,,4,False,BitFenix
Sentey BX1-4284 Plus,,ATX Mid Tower,ATX,Black / Blue,,False,Acrylic,,4,False,Sentey
DIYPC Zondda,,ATX Mid Tower,ATX,White,,False,Acrylic,,4,False,DIYPC
Diablotek CPA-8818,,ATX Mid Tower,ATX,Black,,False,Acrylic,,5,False,Diablotek
DIYPC D480,,ATX Mid Tower,ATX,Black,,False,Acrylic,,2,False,DIYPC
LEPA LPC501,,ATX Mid Tower,ATX,Black / Blue,,False,Acrylic,,6,False,Desconocida
Phanteks Eclipse P400S,,ATX Mid Tower,ATX,Gray,,False,Tinted Acrylic,45.9,2,False,Phanteks
Xigmatek Nebula,,Mini ITX Tower,Mini ITX,White,,False,Solid,22.3,2,False,Xigmatek
Lian Li PC-Q04,,Mini ITX Tower,Mini ITX,Silver,,False,Solid,,2,False,Lian Li
Lian Li PC-Q04,,Mini ITX Tower,Mini ITX,Black,,False,Solid,,2,False,Lian Li
Silverstone LC18,,HTPC,Mini ITX,Black,,False,Solid,30.6,5,False,SilverStone
DIYPC VT380,,ATX Mid Tower,ATX,White,,False,Acrylic,,3,False,DIYPC
Silverstone PS12B,,MicroATX Mid Tower,Micro ATX,Black,,False,Solid,,4,False,SilverStone
Apevia X-Qtis,,MicroATX Mid Tower,Micro ATX,Black / Blue,,False,Acrylic,,4,False,Apevia
Apevia X-Qtis,,MicroATX Mid Tower,Micro ATX,White / Blue,,False,Acrylic,,4,False,Apevia
Antec S10,,ATX Full Tower,ATX,Black,,False,Solid,,6,False,Antec
In Win H-Tower,,ATX Full Tower,ATX,Silver,,False,Solid,,1,False,In Win
DIYPC DIY-N8,,MicroATX Mini Tower,Micro ATX,White,,False,Acrylic,,2,False,DIYPC
Lian Li PC-TU300,,ATX Mid Tower,ATX,Silver,,False,Solid,,2,False,Lian Li
Antec GX1000,,ATX Mid Tower,ATX,Black,,False,Solid,,6,False,Antec
Antec GX900,,ATX Mid Tower,ATX,Black / Green,,False,Solid,,3,False,Antec
Antec Three Hundred U3,,ATX Mid Tower,ATX,Black,,False,Solid,,0,False,Antec
DIYPC D780,,ATX Full Tower,ATX,Black,,False,Acrylic,,8,False,DIYPC
DIYPC DIY-BJ03,,ATX Mid Tower,ATX,Black,,False,Solid,,3,False,DIYPC
DIYPC F1,,MicroATX Mini Tower,Micro ATX,White,,False,Acrylic,,2,False,DIYPC
DIYPC G580,,ATX Mid Tower,ATX,Black,,False,Acrylic,,3,False,DIYPC
DIYPC P28,,ATX Mid Tower,ATX,Black,,False,Solid,,3,False,DIYPC
DIYPC P48,,ATX Mid Tower,ATX,Black,,False,Solid,,3,False,DIYPC
DIYPC S280,,ATX Mid Tower,ATX,Black,,False,Acrylic,,4,False,DIYPC
DIYPC S280,,ATX Mid Tower,ATX,White,,False,Acrylic,,4,False,DIYPC
DIYPC Skyline-08,,ATX Full Tower,ATX,White,,False,Acrylic,,3,False,DIYPC
DIYPC Zetta,,ATX Mid Tower,ATX,Black,,False,Acrylic,,2,False,DIYPC
DIYPC Zetta,,ATX Mid Tower,ATX,White,,False,Acrylic,,2,False,DIYPC
DIYPC DIY-M6,,MicroATX Mid Tower,Micro ATX,Black / Red,,False,Acrylic,,2,False,DIYPC
Antec X1-T,,ATX Mid Tower,ATX,Black,,False,Acrylic,,8,False,Antec
Apevia X-EnerQ,,MicroATX Mid Tower,Micro ATX,Black / Blue,,False,Acrylic,,2,False,Apevia
Apevia X-EnerQ,,MicroATX Mid Tower,Micro ATX,Black / Pink,,False,Acrylic,,2,False,Apevia
Apevia X-EnerQ,,MicroATX Mid Tower,Micro ATX,White / Black,,False,Acrylic,,2,False,Apevia
Enermax ECA3291A,,ATX Mid Tower,ATX,Black,,False,Acrylic,,7,False,Enermax
Apevia X-Qber,,MicroATX Desktop,Micro ATX,Black / Blue,,False,Acrylic,,2,False,Apevia
Apevia X-Qber,,MicroATX Desktop,Micro ATX,Black,,False,Solid,,2,False,Apevia
Anidees AI7,,ATX Desktop,ATX,Black,,False,Solid,,4,False,Anidees
Anidees AI8,,ATX Full Tower,ATX,Black,,False,Solid,,4,False,Anidees
Powertek PT-eviltek-case100,,ATX Mid Tower,ATX,Black,,False,Acrylic,,6,False,Desconocida
VIVO CASE-V00,,ATX Mini Tower,ATX,Black,,False,Solid,,2,False,VIVO
Silverstone FT01-B,,ATX Mid Tower,ATX,Silver,,False,Solid,51.7,7,False,SilverStone
Silverstone FT01-B,,ATX Mid Tower,ATX,Silver,,False,Acrylic,51.7,7,False,SilverStone
Silverstone FT01B-USB3.0,,ATX Mid Tower,ATX,Silver,,False,Solid,,7,False,SilverStone
Silverstone FT01B-USB3.0,,ATX Mid Tower,ATX,Silver,,False,Acrylic,,7,False,SilverStone
Raidmax Narwhal,,ATX Full Tower,ATX,Black / Silver,,False,Acrylic,,6,False,Raidmax
DIYPC Gamestorm,,ATX Mid Tower,ATX,Black,,False,Acrylic,,5,False,DIYPC
