name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
TEAMGROUP T-Force Delta RGB 16 GB,1019.8,"4,3600","2,8",3.187,Black,10.0,18.0
G.Skill Trident Z RGB 16 GB,1099.8,"4,3600","2,8",3.437,Black,10.0,18.0
Kingston FURY Beast RGB 32 GB,2823.8,"5,6000","2,16",4.412,White,10.0,30.0
Corsair Vengeance 128 GB,7459.8,"5,6400","2,64",2.914,Black,13.125,42.0
Corsair Vengeance RGB 16 GB,1359.6,"5,5200","2,8",4.249,Black / Gray,15.385,40.0
Crucial CT2K8G48C40U5 16 GB,839.8,"5,4800","2,8",2.624,Black,16.667,40.0
G.Skill Trident Z5 Neo 64 GB,4099.8,"5,6000","2,32",3.203,Black / Silver,10.0,30.0
Silicon Power XPOWER Pulse Gaming 32 GB,1599.4,"5,6000","2,16",2.499,Black,12.0,36.0
Corsair Vengeance RGB 32 GB,2959.8,"5,6000","2,16",4.625,Black,9.333,28.0
Silicon Power SP016GLLTU160N22 16 GB,339.0,"3,1600","2,8",1.059,Green,13.75,11.0
PNY XLR8 Gaming RGB 32 GB,1899.8,"5,6000","2,16",2.968,Black,12.0,36.0
G.Skill Trident Z5 RGB 32 GB,2799.8,"5,7200","2,16",4.375,Black,9.444,34.0
Kingston FURY Beast 8 GB,597.79,"4,3200","1,8",3.736,Black,10.0,16.0
G.Skill Trident Z5 Neo RGB 64 GB,,"5,6000","2,32",,Black,8.667,26.0
Corsair Vengeance 32 GB,1939.8,"5,5200","2,16",3.031,Black,15.385,40.0
TEAMGROUP T-Create Expert 32 GB,1259.8,"4,3200","2,16",1.968,Gray,10.0,16.0
Silicon Power XPOWER Pulse Gaming 32 GB,1699.8,"5,6400","2,16",2.656,Black,10.0,32.0
Corsair Dominator Titanium 96 GB,8559.79,"5,7000","2,48",4.458,Black,11.429,40.0
Corsair Vengeance LPX 16 GB,1839.8,"4,3600","2,8",5.749,Black,10.0,18.0
Lexar THOR 32 GB,,"4,3200","2,16",,Black,10.0,16.0
Corsair Vengeance RGB Pro 16 GB,1958.19,"4,3200","2,8",6.119,White,10.0,16.0
