name,price,type,efficiency,wattage,modular,color
Corsair RM650 (2019),4599.8,ATX,gold,650,Full,Black
Montech APX,1098.0,ATX,plus,750,false,Black
SeaSonic CORE GX ATX 3 (2024),1999.6,ATX,gold,650,Full,Black
SeaSonic VERTEX PX-1200,6399.8,ATX,platinum,1200,Full,Black / Silver
Thermaltake Toughpower GF A3 - TT Premium Edition,2734.4,ATX,gold,1050,Full,Black
Asus ROG LOKI,4799.8,SFX,platinum,850,Full,White / Silver
Lian Li EDGE GOLD,9503.6,ATX,gold,1000,Full,White
Corsair RM1000x SHIFT,4299.8,ATX,gold,1000,Full / Side,Black
Apevia Galaxy,1599.6,ATX,gold,1000,Semi,Black
be quiet! SFX L Power,2841.0,SFX,gold,500,Full,Black
be quiet! Pure Power 13 M,2698.0,ATX,gold,850,Full,Black
Rosewill CMG850,1599.8,ATX,gold,850,Full,Black
MSI MPG A850GS PCIE5,2599.8,ATX,gold,850,Full,Black
be quiet! Power Zone 2,3899.8,ATX,platinum,1000,Full,Black
be quiet! Power Zone 2,2598.0,ATX,platinum,750,Full,Black
be quiet! Dark Power 13,4798.0,ATX,titanium,850,Full,Black
ASRock Taichi TC-1650T,10379.79,ATX,titanium,1650,Full,Black / Silver
be quiet! Straight Power 12,4751.2,ATX,platinum,1500,Full,Black
SeaSonic FOCUS GX,3505.2,ATX,gold,750,Full,Black
ADATA XPG CYBERCORE,2599.8,ATX,platinum,1000,Full,Black / Silver
ASRock Steel Legend SL-850G,1999.8,ATX,gold,850,Full,Black
ADATA XPG PYLON,1638.6,ATX,bronze,650,false,Black
be quiet! SFX Power 3 450,2488.19,SFX,bronze,450,false,Black
Corsair RM850,2319.6,ATX,gold,850,Full,Black
Corsair RM1200x SHIFT,5399.8,ATX,gold,1200,Full / Side,White
be quiet! Pure Power 12,2798.0,ATX,gold,1000,false,Black
Corsair RM850x (2018),4190.0,ATX,gold,850,Full,Black
SeaSonic VERTEX GX-1200,4959.8,ATX,gold,1200,Full,Black / Silver
Asus ROG LOKI,5299.8,SFX,platinum,1000,Full,Silver / Black
MSI MAG A750BE,1599.6,ATX,bronze,750,Semi,Black
MSI MAG A750GL PCIE5 II,2300.0,ATX,gold,750,Full,Black
Lian Li EDGE GOLD,9623.4,ATX,gold,1000,Full,Black
Asus TUF Gaming 1000G,3899.8,ATX,gold,1000,Full,White
Thermaltake Toughpower GX3,1839.8,ATX,gold,850,false,Black
Asus ROG THOR P2 Gaming,7199.8,ATX,platinum,1000,Full,Silver / Black
Thermaltake Toughpower GF3 TT Premium,3719.8,ATX,gold,1200,Full,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,2001.8,ATX,gold,850,Full,Black
Cooler Master V SFX Gold ATX 3.0,2799.8,SFX,gold,850,Full,Black
Asus TUF Gaming 1200G,4359.8,ATX,gold,1200,Full,Black
Silverstone DA850R-GMA,3479.8,ATX,gold,850,Full,Black
Corsair RM750e (2022),3500.0,ATX,gold,750,Full,Black
be quiet! Pure Power 13 M,2198.0,ATX,gold,750,Full,Black
Gigabyte UD750GM-A,1799.8,ATX,gold,750,Full,Black
Silverstone Extreme 500 Bronze,2132.8,SFX,bronze,500,false,Black / White
be quiet! Pure Power 12,2159.6,ATX,gold,750,false,Black
ADATA XPG PYLON,2050.2,ATX,bronze,550,false,Black
NZXT C1200,5199.8,ATX,gold,1200,Full,Black
Lian Li EDGE GOLD,10787.4,ATX,gold,1200,Full,White
MSI MAG A850GL PCIE5 II,2599.8,ATX,gold,850,Full,Black
Cooler Master V850 SFX GOLD,3399.8,SFX,gold,850,Full,White
be quiet! SFX L Power,4068.39,SFX,gold,600,Full,Black
Lian Li EDGE GOLD,10681.0,ATX,gold,1200,Full,Black
SeaSonic Focus GX V4 ATX 3 (2024),4159.8,ATX,gold,1000,Full,White
Silverstone FX500-G,3141.6,Flex ATX,gold,500,false,Black
Vetroo GV1000,2599.8,ATX,gold,1000,Full,White
Asus ROG Strix,3399.8,ATX,gold,850,Full,White
EVGA SuperNOVA 1300 G+,4799.8,ATX,gold,1300,Full,Black
Montech APX,1099.8,ATX,plus,550,false,Black
Silverstone SFX,4652.6,SFX,titanium,800,Full,Black
be quiet! Straight Power 12,3398.0,ATX,platinum,850,Full,Black
be quiet! Pure Power 13 M,3198.0,ATX,gold,1000,Full,Black
Asus ROG LOKI,3799.8,SFX,platinum,750,Full,Black / Silver
Gigabyte UD1000GM PG5 (rev. 2.0),2959.4,ATX,gold,1000,Full,Black
be quiet! Pure Power 12,3276.2,ATX,gold,650,false,Black
NZXT C1500,7399.8,ATX,platinum,1500,Full,Black
SeaSonic VERTEX PX-1000,5399.8,ATX,platinum,1000,Full,Black / Silver
"FSP Group Hydro Ti PRO,Gen 5",5399.8,ATX,titanium,1000,Full,Black
Thermaltake Toughpower GF3 Snow,3719.8,ATX,gold,1200,Full,White
Thermaltake Smart BM3,1999.8,ATX,bronze,850,Semi,Black
Asus ROG LOKI,4399.8,SFX,platinum,850,Full,Black / Silver
Asus ROG Strix,2450.0,ATX,gold,750,Full,Black / Red
SeaSonic S12III,1760.0,ATX,bronze,650,false,Black
SeaSonic Focus GX V4 ATX 3 (2024),3379.8,ATX,gold,850,Full,White
Vetroo GV1000,2599.8,ATX,gold,1000,Full,Black
Asus ROG-STRIX-850G,3592.0,ATX,gold,850,Full,Black
be quiet! Dark Power 13,4222.79,ATX,titanium,750,Full,Black
Cooler Master V Platinum V2,6199.8,ATX,platinum,1600,Full,Black / Purple
Thermaltake Smart BX1 650,1268.59,ATX,bronze,650,false,Black
SeaSonic CORE GX ATX 3 (2024),2238.19,ATX,gold,850,Full,Black
SAMA GT,1499.8,ATX,gold,750,Full,Black
Thermaltake Toughpower SFX,3899.8,SFX,platinum,1000,Full,Black
FSP Group Dagger Pro,2748.6,SFX,gold,650,Full,Black
Super Flower Leadex III Gold UP,2599.8,ATX,gold,850,Full,Black
SAMA GT,1599.8,ATX,gold,850,Full,Black
MSI MPG A1250GS PCIE5,4599.8,ATX,gold,1250,Full,Black
Lian Li EDGE GOLD,1999.8,ATX,gold,750,Full,Black
SAMA GT,1599.8,ATX,gold,850,Full,White
be quiet! Pure Power 12,2398.0,ATX,gold,850,false,Black
Super Flower LEADEX VII Platinum PRO,3999.8,ATX,platinum,1000,Full,Black
NZXT C1200 (2024),3939.8,ATX,gold,1200,Full,White
Silverstone SFX,1746.2,SFX,bronze,300,false,Black
Asus ROG THOR P2 Gaming,4182.39,ATX,platinum,850,Full,Black / Silver
Asus ROG STRIX 1000G,5819.0,ATX,gold,1000,Full,Black
ASRock Steel Legend SL-1000G,2599.8,ATX,gold,1000,Full,Black
ASRock Phantom Gaming PG-850G,2199.79,ATX,gold,850,Full,Black
SeaSonic FOCUS SGX (2021),4219.8,SFX,gold,750,Full,Black
Rosewill CMG1000G5,1999.8,ATX,gold,1000,Full,Black
be quiet! Pure Power 9 CM,4992.39,ATX,bronze,600,Semi,Black
Thermaltake Toughpower SFX,3199.8,SFX,platinum,850,Full,Black
Gigabyte P850GM,3498.0,ATX,gold,850,Full,Black
Corsair RM750x SHIFT,2799.8,ATX,gold,750,Full / Side,White
Super Flower LEADEX VII XG,3199.8,ATX,gold,850,Full,Black
MSI MAG A850GN PCIE5,2099.79,ATX,gold,850,false,Black
Silverstone HELA 1200R,6414.4,ATX,platinum,1200,Full,Black
Super Flower LEADEX VII Platinum PRO,4799.8,ATX,platinum,1200,Full,Black
EVGA 700 GD,1780.0,ATX,gold,700,false,Black
Gigabyte AORUS ELITE P1000,4422.6,ATX,platinum,1000,Full,Black
EVGA SuperNOVA 1300 P+,4188.6,ATX,platinum,1300,Full,Black
Super Flower Leadex III Gold UP,3199.8,ATX,gold,1000,Full,Black
Vetroo GV1000,2599.8,ATX,gold,1000,Full,Pink
be quiet! System Power 10,4100.0,ATX,bronze,550,false,Black
ASRock Steel Legend SL-850GW,2699.8,ATX,gold,850,Full,White
MSI MPG A1000G,5146.0,ATX,gold,1000,Full,Black
Thermaltake TR2 S,1412.2,ATX,plus,600,false,Black
Corsair RM850e (2022),4000.0,ATX,gold,850,Full,Black
SeaSonic VERTEX GX-850,2999.8,ATX,gold,850,Full,Black / Silver
Silverstone FX350-G,2242.8,Flex ATX,gold,350,false,Black
SeaSonic Focus GX V4 ATX 3 (2024),2294.79,ATX,gold,750,Full,White
Corsair RM1000e (2022),5300.0,ATX,gold,1000,Full,Black
Apevia ATX-PR850W PCIE5.0,1499.6,ATX,gold,850,false,Black
Gigabyte UD850GM-A PG5,2399.79,ATX,gold,850,Full,Black
GameMax GX Pro Rampage,3199.8,ATX,platinum,1050,Full,White
SeaSonic FOCUS GX-750 ATX 3.0,3080.0,ATX,gold,750,Full,Black
ASRock Challenger CL-650B,1259.8,ATX,bronze,650,false,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,3199.8,ATX,gold,1200,Full,Black
Thermaltake Toughpower GF3 TT Premium,3359.8,ATX,gold,1350,Full,Black
Super Flower LEADEX VII XG,4599.8,ATX,gold,1300,Full,Black
Asus ROG Strix Aura Edition,4084.8,ATX,gold,1000,Full,Black
SeaSonic FOCUS GX,3008.2,ATX,gold,650,Full,Black
Azza PSAZ-650W,1199.8,ATX,bronze,650,false,Black
Cooler Master V1300 Platinum,7838.0,ATX,platinum,1300,Full,Black
be quiet! Straight Power 12,3459.8,ATX,platinum,750,Full,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,2199.79,ATX,gold,750,Full,Black
ASRock Phantom Gaming PG-1000G,2999.8,ATX,gold,1000,Full,Black
Razer Katana Chroma,2399.79,ATX,platinum,850,Full,Black
Azza PSAZ-750W,1499.6,ATX,bronze,750,false,Black
ASRock Steel Legend SL-650G,1959.8,ATX,gold,650,Full,Black
ENDORFY Vero L5,1996.4,ATX,bronze,600,false,Black
GAMDIAS KRATOS M1 B,1299.6,ATX,bronze,750,false,Black
Asus TUF Gaming B,1699.8,ATX,bronze,550,false,Black
Corsair RM850x (2018),8140.0,ATX,gold,850,Full,White / Black
Super Flower Leadex III Gold UP,3599.8,ATX,gold,1300,Full,Black
be quiet! System Power 9 CM,4088.39,ATX,bronze,400,Semi,Black
Super Flower LEADEX VII Platinum PRO,4799.8,ATX,platinum,1200,Full,White
GameMax RGB Pro,2199.79,ATX,gold,850,Full,White
Silverstone Essential,1485.0,ATX,gold,550,false,Black / Yellow
Fractal Design Ion Gold,4520.8,ATX,gold,850,Full,Black
Cooler Master MWE Bronze V2,3586.8,ATX,bronze,750,false,Black
Thermaltake Toughpower GF3 TT Premium,5999.8,ATX,gold,1650,Full,Black
ASRock Phantom Gaming PG-750G,1999.8,ATX,gold,750,Full,Black
ASRock Phantom Gaming PG-1300G,3799.8,ATX,gold,1300,Full,Black
be quiet! System Power 10,5156.79,ATX,gold,850,false,Black
Super Flower Leadex III Gold UP,2399.79,ATX,gold,750,Full,Black
ASRock Challenger CL-550B,1159.8,ATX,bronze,550,false,Black
Asus ROG Strix Aura Edition,2799.8,ATX,gold,750,Full,Black
EVGA SuperNOVA 650 P6,3110.8,ATX,platinum,650,Full,Black / Silver
ASRock Phantom Gaming PG-1600G,4999.8,ATX,gold,1600,Full,Black
EVGA SuperNOVA 650 GA,4599.8,ATX,gold,650,Full,Black
Super Flower Zillion FG,2199.79,ATX,gold,850,Full,Black
Thermaltake Toughpower PF3-L,2999.8,ATX,platinum,850,Full,Black
ASRock Steel Legend SL-1000GW,3199.8,ATX,gold,1000,Full,White
ADATA XPG CYBERCORE,3399.8,ATX,platinum,1300,Full,Black / Silver
FSP Group FSP400-60FGGBA,1999.8,Flex ATX,gold,400,false,Silver
Cooler Master V750 SFX GOLD,2999.8,SFX,gold,750,Full,White
Thermaltake Smart BX1 550,1249.8,ATX,bronze,550,false,Black
Cooler Master V SFX Platinum,13540.0,SFX,platinum,1300,Full,Black
Silverstone SX500-G,2264.4,SFX,gold,500,Full,Black
Asus ROG Strix,5740.4,ATX,platinum,850,Full,Black
MSI MPG A850GF,4749.8,ATX,gold,850,Full,Black
SeaSonic PRIME PX-1600 ATX 3.0,9399.79,ATX,platinum,1600,Full,Black / Silver
Montech TITAN PLA,4780.0,ATX,platinum,1200,Full,White
ASRock Challenger CL-750B,1499.8,ATX,bronze,750,false,Black
Thermaltake TR2 S,2051.0,ATX,plus,700,false,Black
be quiet! System Power 9 700 CM,3907.2,ATX,bronze,700,Semi,Black
NZXT C550,1799.6,ATX,bronze,550,Semi,Black
NZXT C650 (2022),2799.6,ATX,gold,650,Full,Black
Thermaltake Toughpower SFX,2787.6,SFX,platinum,750,Full,Black
Corsair RM650,4599.8,ATX,gold,650,Full,Black
SeaSonic SSP-300SFG,2172.0,SFX,gold,300,false,Silver
SeaSonic PRIME Fanless,7305.6,ATX,titanium,700,Full,Black
Corsair HX1500i (2022),9579.79,ATX,platinum,1500,Full,Black
Asus ROG Strix Aura Edition,4199.8,ATX,gold,1000,Full,White
ASRock Challenger CL-850G,1799.8,ATX,gold,850,false,Black
Super Flower LEADEX VII XG,3699.8,ATX,gold,1000,Full,White
Silverstone SX700-PT,3740.6,SFX,platinum,700,Full,Black
be quiet! System Power 10,5420.0,ATX,bronze,750,false,Black
SeaSonic G12 GC,6914.4,ATX,gold,650,false,Black / Blue
EVGA 610 BP,2447.6,ATX,bronze,610,false,Black
RAIJINTEK AMPERE,2300.0,ATX,platinum,850,Full,Black
Asus ROG Strix Aura Edition,3699.8,ATX,gold,850,Full,Black
EVGA 650 B5,3799.8,ATX,bronze,650,Full,Black
Silverstone SX1000-LPT,6399.8,SFX,platinum,1000,Full,Black
EVGA SuperNOVA 1000 G5,4748.39,ATX,gold,1000,Full,Black / Green
Silverstone SST-TX300,1180.0,TFX,bronze,300,false,Black
Thermaltake Toughpower GF2 ARGB,1999.6,ATX,gold,650,Full,Black
SHARKOON SilentStorm,3732.4,SFX,gold,500,Full,Black
Silverstone SFX,3379.0,SFX,platinum,700,Full,Black
Thermaltake Toughpower PF3-L,4399.8,ATX,platinum,1200,Full,Black
Antec NE1000G M ATX3.0,3599.8,ATX,gold,1000,Full,Black
ASRock Taichi TC-1300T,8999.79,ATX,titanium,1300,Full,Black / Silver
Silverstone TX500-G,3195.8,TFX,gold,500,false,Black
Thermaltake Smart RGB 230V,2720.0,ATX,plus,500,false,Black
"FSP Group Hydro PTM X PRO,Gen5",3599.8,ATX,platinum,1000,Full,Black
Super Flower LEADEX VII XG,3799.8,ATX,gold,1000,Full,Black
Athena Power AP-MFATX40P8,1499.6,Flex ATX,bronze,400,false,Silver
Super Flower LEADEX VII Platinum PRO,3399.8,ATX,platinum,850,Full,Black
GAMDIAS HELIOS P2-850G,1799.8,ATX,gold,850,false,Black
Montech TITAN PLA,3780.0,ATX,platinum,850,Full,White
Thermaltake Toughpower GF1 PE,4319.8,ATX,gold,850,Full,Black
Silverstone Strider Titanium,7799.8,ATX,titanium,1300,Full,Black / Blue
ENDORFY Supremo FM5,3583.8,ATX,gold,750,Full,Black
SeaSonic G12 GM,5852.79,ATX,gold,850,Semi,Black / Blue
Rosewill CMG1200G5,2599.8,ATX,gold,1200,Full,Black
EVGA 850 B5,3380.0,ATX,bronze,850,Full,Black
Silverstone SFX,2221.6,SFX,bronze,450,false,Black
EVGA SuperNOVA 1600 P+,9186.6,ATX,platinum,1600,Full,Black
Thermaltake Toughpower PF3-L,3699.8,ATX,platinum,1050,Full,Black
SeaSonic VERTEX PX-850,6187.0,ATX,platinum,850,Full,Black / Silver
Silverstone DA1000R,4911.6,ATX,gold,1000,Full,Black
FSP Group FSP300-57FCB,2599.8,Flex ATX,gold,300,Full,Black
Fractal Design Ion Gold,4162.2,ATX,gold,750,Full,Black
Enermax Revolution D.F. X,2999.8,ATX,gold,1350,Full,Black
"FSP Group Hydro PTM X PRO,Gen5",4199.8,ATX,platinum,1200,Full,Black
SeaSonic Prime Fanless PX-500,5101.39,ATX,platinum,500,Full,Black
Corsair HX1000i (2022),5200.0,ATX,platinum,1000,Full,Black
SeaSonic VERTEX GX-750,2999.8,ATX,gold,750,Full,Black / Silver
Montech TITAN PLA,4392.39,ATX,platinum,1000,Full,White
Azza PSAZ-550W,1099.8,ATX,bronze,550,false,Black
Silverstone SX-G,3059.8,SFX,gold,700,Full,Black
ENDORFY Vero L5,1798.4,ATX,bronze,500,false,Black
Cooler Master MWE White V2 230V,2525.8,ATX,plus,700,false,Black
Silverstone HELA 850R,4417.0,ATX,platinum,850,Full,Black / Silver
NZXT C650,1999.6,ATX,bronze,650,Semi,Black
SeaSonic PRIME 1300 Gold,5799.6,ATX,gold,1300,Full,Black
Gigabyte UD1300GM PG5,4399.8,ATX,gold,1300,Full,Black
GameMax RGB,3999.8,ATX,platinum,1300,Full,Black
Silverstone Essential,1364.0,ATX,bronze,550,false,Black
EVGA SuperNOVA 1200 P3,7263.4,ATX,platinum,1200,Full,Black / Silver
Antec NE1000G M White ATX 3.0,5663.6,ATX,gold,1000,Full,White
Montech TITAN PLA,2780.0,ATX,platinum,750,Full,White
Enermax PlatiGemini,5199.8,ATX,platinum,1200,Full,Black
Silverstone TX700-G,4209.0,TFX,gold,700,false,Black
Thermaltake Smart RGB 230V,1489.6,ATX,plus,600,false,Black
Cougar VTE,1530.8,ATX,bronze,600,false,Black
Antec GSK ATX3.1,3461.39,ATX,gold,750,Full,Black
"FSP Group Hydro PTM X PRO,Gen5",3211.2,ATX,platinum,850,Full,Black
FSP Group FSP300-60LG,2671.8,Mini ITX,bronze,300,false,Black
Cooler Master V750 Gold V2,3878.0,ATX,gold,750,Full,Black
Inter-Tech Argus RGB II,2131.39,ATX,bronze,500,false,Black
Montech CENTURY G5,1994.19,ATX,gold,750,Full,Black
Antec CSK,2538.0,ATX,bronze,550,false,Black / Yellow
SeaSonic PRIME TX,13467.2,ATX,titanium,1600,Full,Black / Silver
NOX URANO VX,1477.4,ATX,bronze,750,false,Black / Orange
Silverstone Strider Platinum S,5859.8,ATX,platinum,1200,Full,Black
Thermaltake Toughpower iRGB PLUS 750,2370.0,ATX,gold,750,Full,Black
GameMax RGB Rainbow,3219.8,ATX,gold,1050,Full,Black
GameMax RGB Pro,2799.8,ATX,gold,1050,Full,White
