name,price,socket,form_factor,max_memory,memory_slots,color,price_available,brand
ASRock B550 Phantom Gaming-ITX/ax,2999.8,AM4,Mini ITX,64,2,Silver / Black,True,ASRock
Asus Z790-AYW WIFI W II,3799.8,LGA1700,ATX,192,4,White,True,ASUS
ASRock B850M Riptide WiFi,3399.8,AM5,Micro ATX,256,4,Black,True,ASRock
Gigabyte B760M DS3H DDR4,2199.79,LGA1700,Micro ATX,128,4,Black,True,Gigabyte
Asus TUF GAMING B760M-PLUS WIFI II,5275.4,LGA1700,Micro ATX,192,4,Black / Orange,True,ASUS
Gigabyte B650M AORUS ELITE AX ICE,3999.8,AM5,Micro ATX,192,4,Silver,True,Gigabyte
Asus ROG CROSSHAIR X670E HERO,,AM5,ATX,192,4,Black / Silver,False,ASUS
Asus PRIME H610I-PLUS D4-CSM,2259.79,LGA1700,Mini ITX,64,2,Silver / Black,True,ASUS
Asus PRIME B760M-A AX,2634.8,LGA1700,Micro ATX,128,4,Silver / Black,True,ASUS
Gigabyte B550M DS3H,2752.8,AM4,Micro ATX,128,4,Black / Gold,True,Gigabyte
MSI PRO B650-P WIFI,3399.8,AM5,ATX,192,4,Black,True,MSI
ASRock B650M-H/M.2+,1999.8,AM5,Micro ATX,96,2,Silver / Black,True,ASRock
ASRock X870 Steel Legend WiFi,5199.8,AM5,ATX,256,4,White,True,ASRock
Asus ROG MAXIMUS Z790 DARK HERO,19999.8,LGA1700,ATX,192,4,Black,True,ASUS
Gigabyte Z790 AORUS ELITE X WIFI7,4799.8,LGA1700,ATX,192,4,Black,True,Gigabyte
ASRock H610M/ac,1799.8,LGA1700,Micro ATX,64,2,Silver / Black,True,ASRock
Gigabyte B650I AORUS ULTRA,4740.0,AM5,Mini ITX,96,2,Black / Silver,True,Gigabyte
Gigabyte A620M S2H,2216.39,AM5,Micro ATX,96,2,Gray / Black,True,Gigabyte
Gigabyte Z890 EAGLE WIFI7,4485.4,LGA1851,ATX,256,4,Silver / Black,True,Gigabyte
Asus ROG STRIX B450-F GAMING II,5385.4,AM4,ATX,128,4,Black,True,ASUS
Asus ROG STRIX X870-F GAMING WIFI,8399.79,AM5,ATX,192,4,Black,True,ASUS
Gigabyte B450M DS3H,3065.2,AM4,Micro ATX,128,4,Black / Silver,True,Gigabyte
Asus PRIME B840-PLUS WIFI,2999.8,AM5,ATX,192,4,Silver / Black,True,ASUS
ASRock B850 LiveMixer WiFi,3799.8,AM5,ATX,256,4,Silver / Black,True,ASRock
Asus TUF GAMING B550M-PLUS WIFI II,3999.8,AM4,Micro ATX,128,4,Black / Gray,True,ASUS
ASRock B450M PRO4 R2.0,1999.8,AM4,Micro ATX,128,4,Gray / Black,True,ASRock
ASRock B660M Pro RS,2159.79,LGA1700,Micro ATX,128,4,Gray / Black,True,ASRock
ASRock A620M Pro RS WiFi,2978.6,AM5,Micro ATX,256,4,Silver / Black,True,ASRock
Asus ROG STRIX X670E-E GAMING WIFI,7680.0,AM5,ATX,192,4,Black / Silver,True,ASUS
ASRock H510M-HDV/M.2 SE,1886.2,LGA1200,Micro ATX,64,2,Black / Silver,True,ASRock
Asus ROG STRIX B550-F GAMING,4399.8,AM4,ATX,128,4,Black,True,ASUS
ASRock B550M-HDV,1799.8,AM4,Micro ATX,64,2,Black,True,ASRock
MSI PRO Z890-P WIFI,3799.8,LGA1851,ATX,256,4,Black / Silver,True,MSI
MSI PRO B650-A WIFI,3399.8,AM5,ATX,256,4,Black / Silver,True,MSI
ASRock B850M-X WiFi,2499.79,AM5,Micro ATX,128,2,Black / White,True,ASRock
