name,price,rpm_min,rpm_max,noise_min_db,noise_max_db,color,radiator_size,cooler_type,price_available,brand
Asus ROG STRIX LC III,4219.8,800.0,2200.0,36.0,36.0,Black,360.0,AIO,True,ASUS
Valkyrie DRAGONFANG,,800.0,2150.0,29.0,29.0,White,360.0,AIO,False,Valkyrie
Gigabyte AORUS WATERFORCE X II 360,4399.8,800.0,2400.0,12.0,37.5,Black,360.0,AIO,True,Gigabyte
Rosewill ROCC-13001,,2000.0,2000.0,19.39,31.05,,,Air,False,Rosewill
Noua Polaris LM240,,2200.0,2200.0,38.0,38.0,Black / White,240.0,AIO,False,Noua
MSI MAG CORELIQUID C280,,500.0,1800.0,14.8,33.28,Black,280.0,AIO,False,MSI
Deepcool AK620,,500.0,1850.0,28.0,28.0,White,,Air,False,DeepCool
Cooler Master Hyper N520,,,,19.0,19.0,,,Air,False,Cooler Master
Cooler Master MasterAir MA410M TUF Gaming Edition,,600.0,1800.0,6.0,31.0,Black / Yellow,,Air,False,Cooler Master
Gigabyte AORUS WATERFORCE X,,2300.0,2300.0,8.06,44.4,Black,280.0,AIO,False,Gigabyte
Alpenföhn Glacier Water 360 High Speed,6117.6,500.0,2200.0,36.8,36.8,Black,360.0,AIO,True,Alpenföhn
MSI MAG CORELIQUID C360,,500.0,2000.0,14.3,34.3,Black,360.0,AIO,False,MSI
Thermaltake Water 3.0 Extreme S,,1000.0,2000.0,20.0,20.0,,240.0,AIO,False,Thermaltake
Rosewill ROCC-16002,,800.0,2000.0,23.6,23.6,Blue / Black,,Air,False,Rosewill
Gelid Solutions Rev. 3 Tranquillo,,750.0,1500.0,12.0,26.5,,,Air,False,Gelid
Gelid Solutions SnowStorm,,900.0,2200.0,10.0,24.1,,,Air,False,Gelid
Deepcool GAMERSTORM CAPTAIN 240PRO V2,,500.0,1800.0,30.0,30.0,Black,240.0,AIO,False,DeepCool
Thermalright Venomous X - RT,,1300.0,1300.0,24.1,24.1,,,Air,False,Thermalright
Enermax Liqtech 120X,,600.0,2500.0,15.0,30.0,,120.0,AIO,False,Enermax
Zalman CNPS20X,579.79,800.0,1500.0,29.0,29.0,Black / Silver,,Air,True,Zalman
Corsair NAUTILUS 360 RS ARGB,2599.8,2100.0,2100.0,34.0,34.0,White,360.0,AIO,True,Corsair
Logisys MC3001IE,,900.0,2200.0,17.8,34.6,,,Air,False,Logisys
RAIJINTEK TRITON,,1000.0,2600.0,21.6,36.6,,240.0,AIO,False,RAIJINTEK
Lian Li HydroShift LCD 360R RGB,,300.0,2400.0,30.0,30.0,White,360.0,AIO,False,Lian Li
Gelid Solutions Slimhero,,750.0,1600.0,12.0,25.4,,,Air,False,Gelid
ID-COOLING SE-224-XTS ARGB,,600.0,1500.0,28.9,28.9,White,,Air,False,ID-COOLING
Masscool 8W2002F1M4,,800.0,2800.0,20.0,34.0,,,Air,False,Masscool
Antec KUHLER H2O 620,,1450.0,2000.0,,,,120.0,AIO,False,Antec
Geometric Future Prawn,1411.8,2000.0,2000.0,29.8,29.8,Black / Silver,,Air,True,Geometric Future
Lian Li Galahad II LCD SL-INF,4999.8,,,29.0,29.0,White,360.0,AIO,True,Lian Li
Thermaltake ASTRIA 200 ARGB,899.59,500.0,1800.0,26.8,26.8,White,,Air,True,Thermaltake
Deepcool Neptwin RGB,,500.0,1500.0,27.0,27.0,Black / Silver,,Air,False,DeepCool
Titan TTC-NC85TZ(RB),977.8,210.0,2100.0,28.8,28.8,,,Air,True,Titan
Dynatron R22,,,,,,,,Air,False,Dynatron
