name,price,capacity,price_per_gb,type,cache,form_factor,interface
Seagate IronWolf Pro NAS,11907.4,22000.0,0.027,7200,512.0,3.5,SATA 6.0 Gb/s
Samsung 970 Pro,4799.8,512.0,0.469,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
Acer Predator GM7000,1059.8,512.0,0.103,SSD,512.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980 Pro w/Heatsink,4700.0,2000.0,0.117,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital AV-GP,811.8,2000.0,0.02,5400,64.0,3.5,SATA 6.0 Gb/s
Seagate Exos X18,4599.8,14000.0,0.016,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda Pro,4735.6,10000.0,0.024,7200,256.0,3.5,SATA 6.0 Gb/s
Gigabyte AORUS Gen5 14000,7210.8,2000.0,0.18,SSD,2048.0,M.2-2280,M.2 PCIe 5.0 X4
Seagate IronWolf Pro NAS,6599.8,16000.0,0.021,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda,3500.0,5000.0,0.035,5400,128.0,2.5,SATA 6.0 Gb/s
Seagate ST500LM021,400.0,500.0,0.04,7200,32.0,2.5,SATA 6.0 Gb/s
Western Digital WD_BLACK,2599.8,6000.0,0.022,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital WD Blue,1614.6,4000.0,0.02,5400,256.0,3.5,SATA 3.0 Gb/s
Seagate Enterprise Capacity,2680.0,8000.0,0.017,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate Exos X14,5000.0,12000.0,0.021,7200,256.0,3.5,SATA 6.0 Gb/s
Toshiba MQ01ABD050,363.8,500.0,0.036,5400,8.0,2.5,SATA 3.0 Gb/s
Western Digital WD Red Pro,6268.2,16000.0,0.02,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Blue,799.8,1000.0,0.04,7200,64.0,3.5,SATA 6.0 Gb/s
Western Digital WD Red Pro,2779.8,4000.0,0.035,7200,256.0,3.5,SATA 6.0 Gb/s
Gigabyte AORUS Gen5 14000,3329.4,1000.0,0.166,SSD,2048.0,M.2-2280,M.2 PCIe 5.0 X4
Western Digital DC HC530,4399.8,14000.0,0.016,7200,512.0,3.5,SATA 6.0 Gb/s
Samsung Spinpoint M8,589.79,1000.0,0.029,5400,8.0,2.5,SATA 3.0 Gb/s
Samsung 860 Pro,18499.8,4000.0,0.231,SSD,4096.0,2.5,SATA 6.0 Gb/s
Western Digital WD Blue,1199.8,2000.0,0.03,5400,64.0,3.5,SATA 6.0 Gb/s
Toshiba MQ01ABD032,279.8,320.0,0.044,5400,8.0,2.5,SATA 3.0 Gb/s
Western Digital WD Red Pro,6399.8,18000.0,0.018,7200,512.0,3.5,SATA 6.0 Gb/s
Seagate Exos X18,5980.0,16000.0,0.019,7200,256.0,3.5,SATA 6.0 Gb/s
Samsung 860 Evo,4980.0,2000.0,0.124,SSD,2048.0,2.5,SATA 6.0 Gb/s
Western Digital Black,2259.79,4000.0,0.028,7200,64.0,3.5,SATA 6.0 Gb/s
Samsung 970 Pro,7999.8,1000.0,0.4,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4
Samsung 960 Pro,13799.0,2000.0,0.345,SSD,2048.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital WD Blue,899.8,1000.0,0.045,5400,64.0,3.5,SATA 6.0 Gb/s
Seagate Surveillance HDD,5812.0,8000.0,0.036,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate SkyHawk AI,8799.79,24000.0,0.018,7200,512.0,3.5,SATA 6.0 Gb/s
Samsung 970 Evo,5180.0,2000.0,0.13,SSD,2048.0,M.2-2280,M.2 PCIe 3.0 X4
Crucial P5 Plus,2078.4,500.0,0.208,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital VelociRaptor,979.4,1000.0,0.049,10000,64.0,2.5,SATA 6.0 Gb/s
Seagate BarraCuda,600.0,500.0,0.06,7200,16.0,3.5,SATA 6.0 Gb/s
Gigabyte AORUS Gen4,2999.8,1000.0,0.15,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Toshiba MG08,5980.0,16000.0,0.019,7200,512.0,3.5,SATA 6.0 Gb/s
Western Digital Blue,719.8,1000.0,0.036,5400,16.0,2.5,SATA 6.0 Gb/s
Samsung 960 Evo,2920.6,500.0,0.292,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
Seagate BarraCuda,1343.6,1000.0,0.067,5400,128.0,2.5,SATA 6.0 Gb/s
Seagate BarraCuda,2399.79,6000.0,0.02,5400,256.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,5479.8,10000.0,0.027,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate EXOS Enterprise,1820.0,4000.0,0.023,7200,128.0,3.5,SATA 6.0 Gb/s
Western Digital WD Blue,2099.79,6000.0,0.017,5400,256.0,3.5,SATA 3.0 Gb/s
Seagate Exos X16,7780.0,16000.0,0.024,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate Exos X22,20694.2,22000.0,0.047,7200,512.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,4706.2,12000.0,0.02,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Red Plus,1599.6,2000.0,0.04,5400,64.0,3.5,SATA 6.0 Gb/s
Toshiba S300,2311.39,4000.0,0.029,5400,256.0,3.5,SATA 6.0 Gb/s
Western Digital Gold,8999.79,22000.0,0.02,7200,512.0,3.5,SATA 6.0 Gb/s
Western Digital Blue,2999.8,8000.0,0.019,5640,128.0,3.5,SATA 6.0 Gb/s
Western Digital Purple,1739.8,4000.0,0.022,5400,256.0,3.5,SATA 6.0 Gb/s
Western Digital Ultrastar DC HC560,9593.0,22000.0,0.022,7200,512.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,4999.8,14000.0,0.018,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda,800.0,500.0,0.08,5400,32.0,3.5,SATA 6.0 Gb/s
MSI SPATIUM M570 HS,8105.0,2000.0,0.203,SSD,4096.0,M.2-2280,M.2 PCIe 5.0 X4
Seagate Exos X24,7999.8,20000.0,0.02,7200,512.0,3.5,SATA 6.0 Gb/s
