name,price,capacity,type,cache,form_factor,interface,brand
Western Digital Black,999.8,1000.0,7200,64.0,2.5,SATA 6.0 Gb/s,Western Digital
Seagate BarraCuda,1160.0,1000.0,7200,32.0,3.5,SATA 3.0 Gb/s,Seagate
Seagate IronWolf Pro NAS,5399.8,14000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Western Digital Red Plus,1799.8,3000.0,5400,256.0,3.5,SATA 6.0 Gb/s,Western Digital
Western Digital Gold,7999.8,20000.0,7200,512.0,3.5,SATA 6.0 Gb/s,Western Digital
Western Digital Gold,4999.8,10000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Western Digital
Western Digital Blue Mobile,1424.6,2000.0,5400,128.0,2.5,SATA 6.0 Gb/s,Western Digital
Seagate SkyHawk Surveillance +Rescue,2424.0,4000.0,5400,256.0,3.5,SATA 6.0 Gb/s,Seagate
Western Digital Ultrastar DC HC550,9399.79,18000.0,7200,512.0,3.5,SATA 6.0 Gb/s,Western Digital
Seagate IronWolf Pro,4689.0,10000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Western Digital WD Red Pro,1999.8,2000.0,7200,64.0,3.5,SATA 6.0 Gb/s,Western Digital
Western Digital Gold,6399.8,18000.0,7200,512.0,3.5,SATA 6.0 Gb/s,Western Digital
Western Digital AV-GP,699.8,1000.0,5400,64.0,3.5,SATA 6.0 Gb/s,Western Digital
Seagate IronWolf NAS,2536.8,2000.0,5400,256.0,3.5,SATA 6.0 Gb/s,Seagate
Seagate EXOS Enterprise,3180.0,4000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Seagate SkyHawk AI,6999.8,20000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Samsung 860 Evo,2123.4,250.0,SSD,512.0,M.2-2280,M.2 SATA,Samsung
Seagate IronWolf Pro NAS,4999.8,10000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Seagate IronWolf NAS,8662.0,16000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Seagate
Western Digital WD_BLACK,6889.0,8000.0,7200,128.0,3.5,SATA 6.0 Gb/s,Western Digital
Western Digital WD Red Pro,6299.8,14000.0,7200,512.0,3.5,SATA 6.0 Gb/s,Western Digital
Hitachi HDS723030ALA640,1399.6,3000.0,7200,64.0,3.5,SATA 6.0 Gb/s,Hitachi
Western Digital WD_BLACK,4399.8,6000.0,7200,256.0,3.5,SATA 6.0 Gb/s,Western Digital
Toshiba X300,2980.0,4000.0,7200,128.0,3.5,SATA 6.0 Gb/s,Toshiba
